"","subject","activityLabel","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z"
"1",2,"WALKING",0.93648925,-0.28271916,0.11528825,-0.92542727,-0.93701413,-0.56428842
"2",2,"WALKING",0.92740359,-0.28921515,0.15256831,-0.98905711,-0.9838872,-0.96478113
"3",2,"WALKING",0.92991503,-0.28751284,0.14608559,-0.9959365,-0.98825055,-0.98157964
"4",2,"WALKING",0.92888137,-0.29339576,0.14292592,-0.99313918,-0.97041923,-0.99159167
"5",2,"WALKING",0.92659966,-0.30296094,0.13830674,-0.99557462,-0.97096035,-0.96808532
"6",2,"WALKING",0.92566317,-0.30893973,0.1305608,-0.99884225,-0.99073872,-0.97123186
"7",2,"WALKING",0.92613663,-0.30956386,0.12856658,-0.9974362,-0.99656801,-0.98820362
"8",2,"WALKING",0.92658621,-0.3107735,0.12958012,-0.99739076,-0.98755709,-0.98979864
"9",2,"WALKING",0.92555526,-0.31573741,0.12642607,-0.99514632,-0.98097747,-0.98127764
"10",2,"WALKING",0.92417336,-0.3175966,0.1245839,-0.99800172,-0.98939331,-0.99196835
"11",2,"WALKING",0.92371888,-0.31398567,0.12787786,-0.99896777,-0.98598299,-0.98116601
"12",2,"WALKING",0.92403746,-0.31295562,0.1314731,-0.99837133,-0.99227971,-0.99206883
"13",2,"WALKING",0.92445923,-0.31568266,0.13103466,-0.9992491,-0.99095888,-0.98946132
"14",2,"WALKING",0.92317418,-0.31981835,0.12898325,-0.99281837,-0.98326068,-0.99353816
"15",2,"WALKING",0.92036099,-0.32552855,0.12910023,-0.99243056,-0.98164027,-0.99003989
"16",2,"WALKING",0.91979943,-0.32576314,0.13401665,-0.99519236,-0.98160614,-0.96913566
"17",2,"WALKING",0.87581327,-0.42668132,0.038234377,-0.86986537,-0.8714715,-0.82092428
"18",2,"WALKING",0.88997692,-0.42265611,0.044050888,-0.97024526,-0.9456811,-0.91993724
"19",2,"WALKING",0.88529186,-0.42609871,0.038517398,-0.98971312,-0.97043824,-0.95956976
"20",2,"WALKING",0.88868488,-0.41889767,0.046875908,-0.98890631,-0.98323615,-0.97134623
"21",2,"WALKING",0.88639445,-0.42463213,0.049435445,-0.97642372,-0.94935411,-0.98430715
"22",2,"WALKING",0.8782922,-0.44115702,0.039357117,-0.97823679,-0.94589569,-0.93292764
"23",2,"WALKING",0.87638473,-0.44715997,0.039266249,-0.98946113,-0.97012703,-0.91379833
"24",2,"WALKING",0.88282593,-0.43031319,0.066307063,-0.97763912,-0.91799566,-0.86717267
"25",2,"WALKING",0.88824855,-0.41368431,0.081629881,-0.99197651,-0.97603214,-0.969735
"26",2,"WALKING",0.88833105,-0.41194179,0.075492335,-0.99607584,-0.99233821,-0.96880022
"27",2,"WALKING",0.88653599,-0.41739217,0.065348552,-0.99497146,-0.97217475,-0.95317626
"28",2,"WALKING",0.88595445,-0.42208281,0.05903586,-0.99566606,-0.9876842,-0.98105626
"29",2,"WALKING",0.88675759,-0.42075175,0.061267268,-0.99613717,-0.98906538,-0.98159227
"30",2,"WALKING",0.88727114,-0.41949043,0.062138516,-0.99569824,-0.98992735,-0.99078944
"31",2,"WALKING",0.89033905,-0.41431632,0.063073539,-0.98596458,-0.97055933,-0.98387503
"32",2,"WALKING",0.95201324,-0.12719693,0.17324768,-0.97442821,-0.87785609,-0.9336702
"33",2,"WALKING",0.95776214,-0.12120449,0.16651548,-0.99215769,-0.95481082,-0.94772651
"34",2,"WALKING",0.95789199,-0.12711834,0.16163958,-0.99692667,-0.99157732,-0.99292938
"35",2,"WALKING",0.95792518,-0.12454962,0.16376124,-0.998006,-0.98845697,-0.9901987
"36",2,"WALKING",0.95832834,-0.11858919,0.16680067,-0.99939896,-0.97259765,-0.98544416
"37",2,"WALKING",0.95832272,-0.11314063,0.16759019,-0.99952115,-0.9913736,-0.99196495
"38",2,"WALKING",0.95841903,-0.1158856,0.1660208,-0.99888949,-0.98042137,-0.99596864
"39",2,"WALKING",0.95761533,-0.11965332,0.16733906,-0.99595146,-0.99389772,-0.98683224
"40",2,"WALKING",0.95685371,-0.11945235,0.17076173,-0.99854623,-0.99717066,-0.98719726
"41",2,"WALKING",0.95709207,-0.11889701,0.17216278,-0.99865366,-0.99858765,-0.99630003
"42",2,"WALKING",0.957125,-0.11843093,0.17257908,-0.99902145,-0.997234,-0.99413399
"43",2,"WALKING",0.9567784,-0.11826838,0.17243002,-0.99838027,-0.99703086,-0.99311082
"44",2,"WALKING",0.95656471,-0.11752757,0.17319654,-0.99757762,-0.99353276,-0.98846658
"45",2,"WALKING",0.97078586,-0.14664468,0.070036345,-0.91948606,-0.85676875,-0.74690999
"46",2,"WALKING",0.97523081,-0.14167883,0.04680685,-0.9759878,-0.9309246,-0.95667189
"47",2,"WALKING",0.97188567,-0.13578742,0.050809506,-0.99583498,-0.97340841,-0.97859934
"48",2,"WALKING",0.97291478,-0.14172722,0.0453806,-0.99880018,-0.98854617,-0.97180417
"49",2,"WALKING",0.97305475,-0.14153892,0.04091304,-0.9997964,-0.98926855,-0.99196828
"50",2,"WALKING",0.97327809,-0.13761653,0.038872702,-0.99902909,-0.98490733,-0.98913861
"51",2,"WALKING",0.9737383,-0.13624316,0.036339561,-0.99904087,-0.98138727,-0.98956689
"52",2,"WALKING",0.9733727,-0.14797011,0.03520866,-0.99671867,-0.93773675,-0.99570813
"53",2,"WALKING",0.97218035,-0.16143042,0.035495106,-0.99667264,-0.9753293,-0.99333685
"54",2,"WALKING",0.97156856,-0.16212082,0.034019738,-0.99949096,-0.98790344,-0.98775243
"55",2,"WALKING",0.97148516,-0.15944776,0.035579575,-0.99947294,-0.99553439,-0.97592964
"56",2,"WALKING",-0.69553313,0.72141371,0.67577988,-0.79814709,-0.99054068,-0.9808685
"57",2,"WALKING",-0.72762928,0.71743485,0.68079188,-0.97539016,-0.98538598,-0.97649265
"58",2,"WALKING",-0.72085621,0.71396105,0.68526411,-0.97869812,-0.99342254,-0.98917087
"59",2,"WALKING",-0.71824729,0.71111133,0.68862349,-0.99439039,-0.98893361,-0.98558872
"60",2,"WALKING",-0.71982373,0.70859517,0.69142117,-0.99750135,-0.99469385,-0.99334447
"61",2,"WALKING",-0.72009525,0.7081513,0.69318963,-0.99941554,-0.998695,-0.9931461
"62",2,"WALKING",-0.71981933,0.70791099,0.69418107,-0.99949955,-0.99746151,-0.99584669
"63",2,"WALKING",-0.71847033,0.70722564,0.69341273,-0.99218778,-0.99726372,-0.99388791
"64",2,"WALKING",-0.71309112,0.70885242,0.6912159,-0.97917626,-0.98876467,-0.99004222
"65",2,"WALKING",-0.70914868,0.71106611,0.68994861,-0.9903629,-0.99340582,-0.99340721
"66",2,"WALKING",-0.71036516,0.70956997,0.69175181,-0.98983768,-0.98945168,-0.98772529
"67",2,"WALKING",-0.58922506,0.7846827,0.63285929,-0.689061,-0.89838755,-0.89634225
"68",2,"WALKING",-0.58048716,0.77009784,0.63225034,-0.84447983,-0.98368765,-0.96073927
"69",2,"WALKING",-0.56016657,0.77174741,0.63096127,-0.95858439,-0.9925661,-0.97858753
"70",2,"WALKING",-0.56364509,0.77073753,0.63399216,-0.97033109,-0.99455166,-0.99423313
"71",2,"WALKING",-0.55997593,0.77059469,0.63445297,-0.97810879,-0.99684782,-0.99465297
"72",2,"WALKING",-0.56124794,0.77026141,0.63556832,-0.97751018,-0.99542073,-0.99390653
"73",2,"WALKING",-0.55560372,0.76955427,0.63545798,-0.96802429,-0.99841399,-0.99472111
"74",2,"WALKING",-0.55417483,0.76906401,0.63554937,-0.9783072,-0.99620099,-0.99402872
"75",2,"WALKING",-0.55271292,0.76874208,0.63638767,-0.96330987,-0.99623657,-0.9970744
"76",2,"WALKING",-0.54135944,0.76948547,0.63553833,-0.96436164,-0.99617311,-0.99427727
"77",2,"WALKING",-0.54142899,0.76868403,0.63685569,-0.97314766,-0.99265662,-0.98366111
"78",2,"WALKING",-0.53980076,0.76711883,0.63977993,-0.9586241,-0.99599343,-0.98944303
"79",2,"WALKING",-0.5260992,0.76781001,0.63887995,-0.9596428,-0.99435951,-0.98795368
"80",2,"WALKING",0.91990897,-0.34745672,0.019693368,-0.95363666,-0.94686234,-0.97638778
"81",2,"WALKING",0.91317298,-0.35173678,0.024970325,-0.96968371,-0.97254632,-0.96882462
"82",2,"WALKING",0.92082397,-0.3520701,0.03009841,-0.96114454,-0.98472398,-0.97036801
"83",2,"WALKING",0.9248589,-0.35238246,0.02681797,-0.97876714,-0.98277077,-0.95874721
"84",2,"WALKING",0.92575074,-0.34798633,0.021833768,-0.97055292,-0.97732225,-0.98224761
"85",2,"WALKING",0.93036735,-0.34693153,0.024936703,-0.96842823,-0.98123371,-0.97750411
"86",2,"WALKING",0.9194876,-0.35116104,0.027523213,-0.94250381,-0.97937709,-0.98968003
"87",2,"WALKING",0.91756393,-0.34765802,0.024733323,-0.95464413,-0.96741121,-0.97722989
"88",2,"WALKING",0.92590036,-0.34119533,0.023588684,-0.98140199,-0.98560203,-0.97813168
"89",2,"WALKING",0.92559833,-0.34217954,0.02382803,-0.98668843,-0.98338558,-0.9822987
"90",2,"WALKING",0.92793552,-0.33813924,0.022825926,-0.98636166,-0.96698422,-0.97486463
"91",2,"WALKING",0.92382126,-0.33812038,0.026442976,-0.96381026,-0.9646543,-0.96493235
"92",2,"WALKING",0.91229101,-0.34412649,0.028520145,-0.96068388,-0.97938009,-0.97999042
"93",2,"WALKING",0.92038307,-0.34381543,0.024102024,-0.93400525,-0.98340516,-0.97467581
"94",2,"WALKING",0.93501171,-0.34177046,0.027762863,-0.98483097,-0.98719504,-0.95481318
"95",2,"WALKING",0.92339513,-0.34763121,0.013877152,-0.95274418,-0.91931862,-0.96712389
"96",2,"WALKING",0.91703645,-0.35292961,0.015072697,-0.96241083,-0.9376576,-0.97050983
"97",2,"WALKING",0.91511272,-0.35755328,0.020471249,-0.97895151,-0.97778697,-0.97511921
"98",2,"WALKING",0.91791373,-0.34883514,0.02936331,-0.98999824,-0.96885053,-0.94916322
"99",2,"WALKING",0.91867588,-0.34407411,0.034632273,-0.9873086,-0.98318893,-0.97261154
"100",2,"WALKING",0.91969806,-0.34874928,0.028757953,-0.98991992,-0.97481912,-0.9608673
"101",2,"WALKING",0.91880373,-0.35224337,0.023289529,-0.98868188,-0.98806868,-0.97528476
"102",2,"WALKING",0.92053299,-0.34914283,0.022932528,-0.98617097,-0.98088619,-0.9831076
"103",2,"WALKING",0.91832348,-0.34748446,0.023607305,-0.98073368,-0.99129869,-0.98222799
"104",2,"WALKING",0.92162708,-0.34800133,0.023925932,-0.96332837,-0.98428308,-0.98575111
"105",2,"WALKING",0.92611255,-0.35484126,0.023371871,-0.9690812,-0.95672309,-0.98682077
"106",2,"WALKING",0.91945968,-0.35727178,0.024557592,-0.97072966,-0.96997183,-0.97910656
"107",2,"WALKING",0.91654519,-0.35313681,0.024684898,-0.99155424,-0.98750442,-0.98013134
"108",2,"WALKING",0.91795101,-0.35847392,0.02139666,-0.99312039,-0.96913297,-0.98555228
"109",2,"WALKING",0.91617182,-0.36393656,0.019898263,-0.98836267,-0.97230774,-0.98891064
"110",2,"WALKING",0.88843472,-0.35208513,0.024746154,-0.97455562,-0.94963851,-0.92848257
"111",2,"WALKING",0.90415426,-0.36687719,0.020979978,-0.90372096,-0.93569505,-0.90429661
"112",2,"WALKING",0.91778589,-0.36635024,0.0066570617,-0.9459504,-0.9324584,-0.93708346
"113",2,"WALKING",0.9185801,-0.3467214,0.013347324,-0.94887881,-0.94220621,-0.91580219
"114",2,"WALKING",0.91002736,-0.34639809,0.016778253,-0.91012543,-0.94978266,-0.93857594
"115",2,"WALKING",0.88698853,-0.35102716,0.013588363,-0.93546683,-0.95304942,-0.97138549
"116",2,"WALKING",0.8903736,-0.34333335,0.0083803748,-0.94417397,-0.95553034,-0.93038204
"117",2,"WALKING",0.89120341,-0.33991253,-0.0016320651,-0.94742771,-0.98871154,-0.94608713
"118",2,"WALKING",0.88196458,-0.34434033,0.0026251368,-0.97578734,-0.97265148,-0.94579762
"119",2,"WALKING",0.85725469,-0.32296931,-0.22463514,-0.9843848,-0.9168918,-0.87570298
"120",2,"WALKING",0.85755178,-0.31591962,-0.24890684,-0.98755147,-0.9731885,-0.91355983
"121",2,"WALKING",0.86509095,-0.31161616,-0.2491606,-0.96413902,-0.94329055,-0.93302704
"122",2,"WALKING",0.86873654,-0.31171608,-0.24669583,-0.96927178,-0.93336455,-0.94519528
"123",2,"WALKING",0.85958679,-0.32366852,-0.25600458,-0.96296122,-0.95253709,-0.96348418
"124",2,"WALKING",0.85585592,-0.31712472,-0.26834748,-0.98126204,-0.93596874,-0.92764629
"125",2,"WALKING",0.84910036,-0.31632798,-0.28276642,-0.94360346,-0.94007993,-0.94631885
"126",2,"WALKING",0.83288545,-0.3247456,-0.28859649,-0.95055015,-0.97392877,-0.96568406
"127",2,"WALKING",0.77714742,-0.27065994,-0.41948411,-0.96158874,-0.94738828,-0.90011148
"128",2,"WALKING",0.79274717,-0.27575092,-0.41810985,-0.94681244,-0.96156266,-0.95523325
"129",2,"WALKING",0.80133805,-0.26850962,-0.42510743,-0.95883268,-0.95249559,-0.96069021
"130",2,"WALKING",0.78719278,-0.27114646,-0.41679552,-0.9278588,-0.93713951,-0.90390347
"131",2,"WALKING",0.79970867,-0.26820707,-0.40293275,-0.87226231,-0.91645012,-0.94718434
"132",2,"WALKING",0.81247038,-0.25958826,-0.41351894,-0.90614476,-0.940082,-0.90795616
"133",2,"WALKING",0.78972988,-0.27653834,-0.4286658,-0.92591639,-0.91795748,-0.96403551
"134",2,"WALKING",0.89378375,-0.41459246,-0.040303941,-0.92369394,-0.94089643,-0.61817194
"135",2,"WALKING",0.86182968,-0.42820127,-0.1392346,-0.9025848,-0.9501223,-0.51151989
"136",2,"WALKING",0.83231477,-0.44034311,-0.21438702,-0.93563894,-0.95866746,-0.87931644
"137",2,"WALKING",0.82253955,-0.43545486,-0.22813074,-0.96339927,-0.938378,-0.9527586
"138",2,"WALKING",0.82434606,-0.42694058,-0.23396567,-0.96993179,-0.96832378,-0.90968986
"139",2,"WALKING",0.82002484,-0.42264572,-0.26057755,-0.96633309,-0.95267355,-0.83867007
"140",2,"WALKING",0.80965575,-0.41797861,-0.2927227,-0.95600484,-0.94951485,-0.90116884
"141",2,"WALKING",0.80421172,-0.41122783,-0.30954593,-0.96488279,-0.93869197,-0.91956541
"142",2,"WALKING",0.78841478,-0.39115743,-0.34059264,-0.9210241,-0.92276064,-0.8030966
"143",2,"WALKING",0.85418365,-0.36998534,-0.28328007,-0.83659828,-0.840246,-0.6483279
"144",2,"WALKING",0.77744709,-0.37238247,-0.38592451,-0.75190443,-0.87262585,-0.45582395
"145",2,"WALKING",0.71872149,-0.34577422,-0.46668033,-0.92890557,-0.94108453,-0.87726749
"146",2,"WALKING",0.71248535,-0.34166914,-0.47922354,-0.96767438,-0.96456,-0.96573832
"147",2,"WALKING",0.72200405,-0.34340533,-0.48379117,-0.96043669,-0.96927178,-0.95188743
"148",2,"WALKING",0.71478372,-0.34596998,-0.49391901,-0.93165632,-0.95645429,-0.92671733
"149",2,"WALKING",0.7025277,-0.32537694,-0.50383256,-0.96523033,-0.85924197,-0.94517747
"150",2,"WALKING",0.69943417,-0.29680057,-0.51878585,-0.96343447,-0.92333967,-0.90902989
"151",2,"WALKING",0.74252899,-0.25001385,-0.53088483,-0.7512596,-0.67553109,-0.79221644
"152",2,"WALKING",0.66598608,-0.3163566,-0.56406492,-0.84219454,-0.84983864,-0.92826513
"153",2,"WALKING",0.64589852,-0.32197213,-0.56610531,-0.95623826,-0.90118763,-0.93496839
"154",2,"WALKING",0.64294547,-0.32149207,-0.56406153,-0.94584482,-0.91040281,-0.92968439
"155",2,"WALKING",0.64075158,-0.3158319,-0.57662419,-0.95940269,-0.92042447,-0.92126087
"156",2,"WALKING",0.64255272,-0.30903852,-0.58994387,-0.96856465,-0.94705491,-0.96089345
"157",2,"WALKING",0.63954655,-0.316077,-0.59421834,-0.98548506,-0.96118486,-0.96972536
"158",2,"WALKING",0.64065484,-0.31349186,-0.59352679,-0.97735465,-0.96847374,-0.97169365
"159",2,"WALKING",0.90750709,-0.31830538,0.18769243,-0.92059907,-0.90819117,-0.53542919
"160",2,"WALKING",0.89032532,-0.33884512,0.22398067,-0.97331245,-0.945376,-0.89630326
"161",2,"WALKING",0.89290785,-0.34863129,0.19662293,-0.97995806,-0.98290358,-0.89063527
"162",2,"WALKING",0.89607129,-0.35656824,0.17396375,-0.99643688,-0.96766096,-0.93331328
"163",2,"WALKING",0.89473752,-0.36285698,0.16721705,-0.9958286,-0.99090506,-0.98223728
"164",2,"WALKING",0.8942283,-0.36264534,0.17066026,-0.99849359,-0.99171737,-0.98143966
"165",2,"WALKING",0.89440512,-0.35756713,0.17967315,-0.99877324,-0.9758443,-0.94451807
"166",2,"WALKING",0.89419491,-0.35189962,0.18938176,-0.99839641,-0.98821478,-0.97666359
"167",2,"WALKING",0.89460016,-0.34923918,0.19220199,-0.99752067,-0.99378088,-0.99494132
"168",2,"WALKING",0.89531336,-0.34879527,0.19171048,-0.9991234,-0.99382525,-0.9896189
"169",2,"WALKING",0.89499058,-0.35178547,0.18945783,-0.99655084,-0.98588906,-0.99019143
"170",2,"WALKING",0.85873081,-0.42136189,0.15565405,-0.91588882,-0.83963498,-0.65313487
"171",2,"WALKING",0.87551935,-0.39775832,0.18647231,-0.98715361,-0.97861967,-0.93054357
"172",2,"WALKING",0.87608972,-0.40049618,0.17273308,-0.9978594,-0.99000057,-0.95704087
"173",2,"WALKING",0.8762395,-0.40111409,0.16945118,-0.99880443,-0.99718931,-0.98876456
"174",2,"WALKING",0.87657213,-0.40064889,0.17132248,-0.9986425,-0.99843492,-0.99043043
"175",2,"WALKING",0.87651689,-0.40079849,0.16869333,-0.99807313,-0.99818414,-0.97793677
"176",2,"WALKING",0.87649622,-0.400631,0.16496029,-0.99800091,-0.99733028,-0.99270196
"177",2,"WALKING",0.87639678,-0.40104629,0.16442112,-0.99758621,-0.99289645,-0.99670062
"178",2,"WALKING",0.87505219,-0.4047524,0.16333994,-0.99477847,-0.98246639,-0.99141731
"179",2,"WALKING",0.87353879,-0.40875446,0.16102311,-0.99666575,-0.99097255,-0.99166016
"180",2,"WALKING",0.87531122,-0.40671471,0.15912209,-0.98871833,-0.98173061,-0.99370378
"181",2,"WALKING",0.87834175,-0.40276525,0.159183,-0.99390734,-0.99125485,-0.99351216
"182",2,"WALKING",0.92762526,-0.10492251,0.2782628,-0.95040369,-0.65013862,-0.78980888
"183",2,"WALKING",0.91676907,-0.039981956,0.30871536,-0.93747354,-0.89925432,-0.91833389
"184",2,"WALKING",0.90233797,-0.015100446,0.32617025,-0.98337943,-0.94445797,-0.94092729
